COSITE,ROADWAY,FROM,TO,LAST_YEAR_RECORDED,FORECASTED_YEAR,FORECASTED_AADT,Congestion_Level,FORECAST_DATE,TEMPERATURE,WINDSPEED,CURRENT_FORECAST
572606,57002006,I-10/SR-8,SR-85/S FERDON BLVD,2023,2024,7080.99,Medium,2025-05-05,53,0.0,Clear
572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,2023,2024,3211.32,Low,2025-05-05,53,0.0,Clear
572608,57002008,SR-85,I-10/SR-8,2023,2024,2603.53,Low,2025-05-05,53,0.0,Clear
575126,57003000,DENTON BLVD,MOONEY RD,2023,2024,27001.22,High,2025-05-05,53,0.0,Clear
575110,57003000,MOONEY RD,SR-85/EGLIN PKWY,2023,2024,27471.53,High,2025-05-05,53,0.0,Clear
575091,57003000,SR-189/BEAL PKWY,DENTON BLVD,2023,2024,27445.04,High,2025-05-05,53,0.0,Clear
575053,57010000,LINDBERG ST,N WILSON ST,2023,2024,22632.38,High,2025-05-05,53,0.0,Clear
571602,57010000,ENZOR RD,LINDBERG ST,2023,2024,20660.41,High,2025-05-05,53,0.0,Clear
575051,57010000,SR-85,BRACKIN ST,2023,2024,10571.65,Medium,2025-05-05,53,0.0,Clear
570098,57010000,SANTA ROSA CO LINE,CR-189/LOG LAKE RD,2023,2024,4373.63,Low,2025-05-05,53,0.0,Clear
570009,57010000,MIDDLEBROOKS RD,SR-4,2023,2024,6618.1,Medium,2025-05-05,53,0.0,Clear
570302,57010000,FAIRCHILD RD,CR-393/HWY 393,2023,2024,10428.0,Medium,2025-05-05,53,0.0,Clear
570122,57010000,CR-4/ANTIOCH RD,ENZOR RD,2023,2024,17226.85,High,2025-05-05,53,0.0,Clear
570124,57010000,CR-393/HWY 393,WALTON CO LINE,2023,2024,8707.57,Medium,2025-05-05,53,0.0,Clear
571601,57010000,BRACKIN ST,FAIRCHILD RD,2023,2024,13249.37,Medium,2025-05-05,53,0.0,Clear
570101,57010000,SR-4,CR-4/ANTIOCH RD,2023,2024,18385.15,High,2025-05-05,53,0.0,Clear
570128,57010000,CR-189/LOG LAKE RD,MIDDLEBROOKS RD,2023,2024,7080.88,Medium,2025-05-05,53,0.0,Clear
575052,57010000,N WILSON ST,SR-85,2023,2024,17207.62,High,2025-05-05,53,0.0,Clear
575005,57020000,21ST ST,CR-285/PARTIN DR,2023,2024,4337.23,Low,2025-05-05,53,0.0,Clear
575072,57020500,VALPARAISO BLVD,FINCK RD,2023,2024,1500.18,Low,2025-05-05,53,0.0,Clear
570306,57030000,PARRISH BLVD,Bridge No-570182,2023,2024,47918.46,High,2025-05-05,53,0.0,Clear
571702,57030000,SR393MARY ESTHER BLV,MEMORIAL PKWY SW,2023,2024,27992.21,High,2025-05-05,53,0.0,Clear
570167,57030000,SANTA ROSA CO LINE,PARRISH BLVD,2023,2024,39634.15,High,2025-05-05,53,0.0,Clear
575136,57030000,STAHLMAN AVE,CR-30D/MAIN ST,2023,2024,50247.27,High,2025-05-05,53,0.0,Clear
575039,57030000,BUSINESS ENT/EXIT,BROOKS ST SE,2023,2024,35999.73,High,2025-05-05,53,0.0,Clear
571705,57030000,Bridge No-570182,BUSINESS ENT/EXIT,2023,2024,43425.06,High,2025-05-05,53,0.0,Clear
575038,57030000,MEMORIAL PKWY SW,BUSINESS ENT/EXIT,2023,2024,30504.54,High,2025-05-05,53,0.0,Clear
575080,57030000,BUSINESS ENT/EXIT,SR393MARY ESTHER BLV,2023,2024,33022.79,High,2025-05-05,53,0.0,Clear
575130,57030000,GULF SHORE DR,,2023,2024,55716.97,High,2025-05-05,53,0.0,Clear
575083,57030000,FLORIDA PL SE,PERRY AVE SE,2023,2024,36048.82,High,2025-05-05,53,0.0,Clear
570385,57030000,PARK,COASTGUARD STATION,2023,2024,40606.11,High,2025-05-05,53,0.0,Clear
575132,57030000,CR-30D/MAIN ST,GULF SHORE DR,2023,2024,48564.2,High,2025-05-05,53,0.0,Clear
575040,57030000,BROOKS ST SE,FLORIDA PL SE,2023,2024,31412.01,High,2025-05-05,53,0.0,Clear
570018,57030000,COASTGUARD STATION,STAHLMAN AVE,2023,2024,44990.76,High,2025-05-05,53,0.0,Clear
600168,57030030,HUTCHINSON ST,WALTON CO LINE,2023,2024,53223.44,High,2025-05-05,53,0.0,Clear
575143,57030030,KELLY PLANTATION,HUTCHINSON ST,2023,2024,60420.97,High,2025-05-05,53,0.0,Clear
575169,57030030,0.096 E OF AIRPORT R,KELLY PLANTATION,2023,2024,46521.63,High,2025-05-05,53,0.0,Clear
577705,57030111,US-98/SR-30,CODY AVE,2023,2024,4936.29,Low,2025-05-05,53,0.0,Clear
577706,57030112,CODY AVE,US-98/SR-30,2023,2024,4981.07,Low,2025-05-05,53,0.0,Clear
577707,57030113,US-98/SR-30,CODY AVE,2023,2024,1887.22,Low,2025-05-05,53,0.0,Clear
577708,57030114,CODY AVE,US-98/SR-30,2023,2024,2002.06,Low,2025-05-05,53,0.0,Clear
575045,57040000,SR-145/PERRY AVE SE,HOLLYWOOD BLVD SE,2023,2024,36634.96,High,2025-05-05,53,0.0,Clear
575010,57040000,DAVIS DR,CR-285,2023,2024,40772.14,High,2025-05-05,53,0.0,Clear
570298,57040000,EDGEWATER DR,BAY DR,2023,2024,39551.51,High,2025-05-05,53,0.0,Clear
571704,57040000,SHOPPING CTR,YACHT CLUB DR,2023,2024,40994.4,High,2025-05-05,53,0.0,Clear
571502,57040000,REDWOOD AVE,EDGEWATER DR,2023,2024,37305.65,High,2025-05-05,53,0.0,Clear
571709,57040000,YACHT CLUB DR,MONAHAN DR,2023,2024,49469.97,High,2025-05-05,53,0.0,Clear
570307,57040000,SR-397,SR-189,2023,2024,21917.32,High,2025-05-05,53,0.0,Clear
571510,57040000,SR-397,SR-85,2023,2024,43300.38,High,2025-05-05,53,0.0,Clear
575073,57040000,PALM BLVD,REDWOOD AVE,2023,2024,40151.55,High,2025-05-05,53,0.0,Clear
570294,57040000,BAY DR,CR-293/WHITE POINT R,2023,2024,31062.13,High,2025-05-05,53,0.0,Clear
571710,57040000,12TH AVE,SR-397,2023,2024,33525.81,High,2025-05-05,53,0.0,Clear
575108,57040000,MONAHAN DR,4TH AVE,2023,2024,42013.35,High,2025-05-05,53,0.0,Clear
570314,57040000,GEN ROBERT M BOND BL,57150002 NB ON,2023,2024,54062.39,High,2025-05-05,53,0.0,Clear
571707,57040000,4TH AVE,12TH AVE,2023,2024,45011.29,High,2025-05-05,53,0.0,Clear
575009,57040000,SR-85,DAVIS DR,2023,2024,42311.07,High,2025-05-05,53,0.0,Clear
571507,57040000,FROM SR-190,SR-397,2023,2024,23828.97,High,2025-05-05,53,0.0,Clear
570261,57040000,57150002 NB ON,FROM SR-190,2023,2024,24999.71,High,2025-05-05,53,0.0,Clear
575106,57040000,HOLLYWOOD BLVD SE,SHOPPING CTR,2023,2024,39483.82,High,2025-05-05,53,0.0,Clear
571520,57040000,CR-293/WHITE POINT R,57160118 SB ON,2023,2024,25341.26,High,2025-05-05,53,0.0,Clear
575076,57040000,CR-285,PALM BLVD,2023,2024,37103.78,High,2025-05-05,53,0.0,Clear
570260,57040000,SR-189,GEN ROBERT M BOND BL,2023,2024,39700.35,High,2025-05-05,53,0.0,Clear
570110,57040000,57160118 SB ON,COUNTY LINE RD,2023,2024,16034.26,High,2025-05-05,53,0.0,Clear
575079,57040000,SR-85/FLORIDA PL SE,SR-145/PERRY AVE SE,2023,2024,15082.94,High,2025-05-05,53,0.0,Clear
575137,57040001,CHESTNUT AVE SE,SR-85/EGLIN PKWY SE,2023,2024,18340.2,High,2025-05-05,53,0.0,Clear
575128,57040001,US-98/SR-30,CHESTNUT AVE SE,2023,2024,21424.05,High,2025-05-05,53,0.0,Clear
575074,57040024,US-98/SR-30,FIRST ST SE,2023,2024,7096.81,Medium,2025-05-05,53,0.0,Clear
575024,57040025,EGLIN AFB E GATE,N BAYSHORE DR,2023,2024,16621.64,High,2025-05-05,53,0.0,Clear
571504,57040027,SR-85,NORDBERG AVE,2023,2024,4201.39,Low,2025-05-05,53,0.0,Clear
571505,57040027,CHICAGO AVE,SHOPPING CTR,2023,2024,22034.1,High,2025-05-05,53,0.0,Clear
577710,57040114,SR-85 SB FRONTAGE RD,SR-85,2023,2024,1606.89,Low,2025-05-05,53,0.0,Clear
571610,57050000,PJ ADAMS PKWY,JOHN KING RD,2023,2024,42314.31,High,2025-05-05,53,0.0,Clear
575060,57050000,E CANE AVE,US-90/SR-10,2023,2024,42202.56,High,2025-05-05,53,0.0,Clear
571609,57050000,TO I-10 EB,WAL MART RD,2023,2024,49433.31,High,2025-05-05,53,0.0,Clear
570219,57050000,57160131 NB OFF,57150005 SB ON,2023,2024,17843.87,High,2025-05-05,53,0.0,Clear
571608,57050000,WAL MART RD,W REDSTONE AVE,2023,2024,43996.38,High,2025-05-05,53,0.0,Clear
571607,57050000,JOHN KING RD,TO I-10 EB,2023,2024,50477.64,High,2025-05-05,53,0.0,Clear
571503,57050000,COLLEGE BLVD,57160131 NB OFF,2023,2024,12598.52,Medium,2025-05-05,53,0.0,Clear
570088,57050000,57150005 SB ON,PJ ADAMS PKWY,2023,2024,40924.77,High,2025-05-05,53,0.0,Clear
571606,57050000,W REDSTONE AVE,E CANE AVE,2023,2024,47364.36,High,2025-05-05,53,0.0,Clear
575016,57050000,SR-20,COLLEGE BLVD,2023,2024,14017.52,Medium,2025-05-05,53,0.0,Clear
577711,57050017,SR-20/JOHN SIMS PKWY,SR-85/N HWY 85,2023,2024,3608.42,Low,2025-05-05,53,0.0,Clear
577701,57050101,SR-85,77TH SPECIAL FORCES,2023,2024,1469.39,Low,2025-05-05,53,0.0,Clear
577702,57050102,77TH SPECIAL FORCES,SR-85,2023,2024,1399.99,Low,2025-05-05,53,0.0,Clear
577704,57050103,SR-210/MCWHORTER AVE,SR-85,2023,2024,1395.25,Low,2025-05-05,53,0.0,Clear
577703,57050104,SR-85,SR-210,2023,2024,1394.11,Low,2025-05-05,53,0.0,Clear
575057,57060000,US-90/SR-10,LONG DR,2023,2024,29721.15,High,2025-05-05,53,0.0,Clear
575112,57060000,LONG DR,JONES RD,2023,2024,29899.23,High,2025-05-05,53,0.0,Clear
570356,57060000,BRADLEY RD,CR-602,2023,2024,4214.84,Low,2025-05-05,53,0.0,Clear
570118,57060000,CR-85A,COUNTY LINE RD,2023,2024,3432.13,Low,2025-05-05,53,0.0,Clear
570051,57060000,CR-602,CR-85A/SECOND AVE,2023,2024,4427.88,Low,2025-05-05,53,0.0,Clear
570139,57060000,CR-188/AIRPORT RD,BRADLEY RD,2023,2024,13339.52,Medium,2025-05-05,53,0.0,Clear
571603,57060000,JONES RD,CR-188/AIRPORT RD,2023,2024,29044.02,High,2025-05-05,53,0.0,Clear
570054,57060000,CR-85A/SECOND AVE,CR-85A,2023,2024,4017.6,Low,2025-05-05,53,0.0,Clear
570005,57070000,GEORGIA AVE,VINSON RAY RD,2023,2024,5301.92,Medium,2025-05-05,53,0.0,Clear
570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,2023,2024,4042.43,Low,2025-05-05,53,0.0,Clear
570121,57070000,CR-2/HWY 2,L G RUSSELL RD,2023,2024,4419.1,Low,2025-05-05,53,0.0,Clear
570120,57070000,VINSON RAY RD,CR-2/HWY 2,2023,2024,5095.44,Medium,2025-05-05,53,0.0,Clear
570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,2023,2024,2037.9,Low,2025-05-05,53,0.0,Clear
570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,2023,2024,10903.14,Medium,2025-05-05,53,0.0,Clear
570309,57090000, , ,2023,2024,8977.8,Medium,2025-05-05,53,0.0,Clear
571511,57090000,SR-20/JOHN SIMS PKWY,BAYSHORE DR,2023,2024,2307.73,Low,2025-05-05,53,0.0,Clear
575077,57090000,SR-20/JOHN SIMS PKWY,PALM BLVD,2023,2024,8089.12,Medium,2025-05-05,53,0.0,Clear
571506,57090000,PALM BLVD,COLLEGE BLVD,2023,2024,8956.97,Medium,2025-05-05,53,0.0,Clear
600251,57090000,57160127 NB OFF,WALTON CO LINE,2023,2024,9557.67,Medium,2025-05-05,53,0.0,Clear
575003,57090000,BAYSHORE DR,SR-20/JOHN SIMS PKWY,2023,2024,2314.22,Low,2025-05-05,53,0.0,Clear
570301,57100000,SR-189/HWY 189,SR-85/HWY 85,2023,2024,403.41,Low,2025-05-05,53,0.0,Clear
575034,57110000,YACHT CLUB DR,MEMORIAL PKWY NW,2023,2024,26541.71,High,2025-05-05,53,0.0,Clear
575095,57110000,OAK ST,LEWIS ST,2023,2024,49982.17,High,2025-05-05,53,0.0,Clear
575102,57110000,US-98/SR-30,HOLLYWOOD BLVD,2023,2024,15036.71,High,2025-05-05,53,0.0,Clear
571701,57110000,MEMORIAL PKWY NW,OAK ST,2023,2024,30027.66,High,2025-05-05,53,0.0,Clear
575113,57110000,LEWIS ST,SR-188/RACETRACK RD,2023,2024,39821.45,High,2025-05-05,53,0.0,Clear
575138,57110000,HOLLYWOOD BLVD,YACHT CLUB DR,2023,2024,21036.19,High,2025-05-05,53,0.0,Clear
575105,57110028,MIRACLE STRIP,HOLLYWOOD BLVD,2023,2024,18053.35,High,2025-05-05,53,0.0,Clear
575098,57110028,WRIGHT PKWY NW,SR-189/BEAL PKWY,2023,2024,33418.9,High,2025-05-05,53,0.0,Clear
571706,57130000,MOONEY RD,GEN BOND BLVD,2023,2024,35305.37,High,2025-05-05,53,0.0,Clear
570290,57130000,GEN BOND BLVD,SR-85,2023,2024,21298.02,High,2025-05-05,53,0.0,Clear
575090,57130000,SR-188/RACETRACK RD,GREEN ACRES RD,2023,2024,32530.1,High,2025-05-05,53,0.0,Clear
570291,57130000,SR-85,SR-397/EGLIN BLVD,2023,2024,12001.77,Medium,2025-05-05,53,0.0,Clear
570250,57130000,GREEN ACRES RD,MOONEY RD,2023,2024,31762.08,High,2025-05-05,53,0.0,Clear
570189,57140000,HARBOR BLVD,BENNING DR,2023,2024,2703.93,Low,2025-05-05,53,0.0,Clear
570299,57150000,SR-85 WB FRONTAGE RD,Bridge No-570177,2023,2024,22885.96,High,2025-05-05,53,0.0,Clear
570312,57150002,SR-85 NB,57040200 WB FRONTAGE,2023,2024,10511.84,Medium,2025-05-05,53,0.0,Clear
570313,57150003,SR-123 NB GORE,SR-85 SB,2023,2024,11097.93,Medium,2025-05-05,53,0.0,Clear
570319,57150004,N END BRIDGE 570076,SR-85,2023,2024,10494.19,Medium,2025-05-05,53,0.0,Clear
570320,57150005,SR-85 SB,N END BRIDGE 570177,2023,2024,11000.0,Medium,2025-05-05,53,0.0,Clear
577712,57150101,SR-123 SB,SR-85 WB FRONTAGE RD,2023,2024,661.06,Low,2025-05-05,53,0.0,Clear
577709,57150111,SR-123 NB,SR-85 SB,2023,2024,705.48,Low,2025-05-05,53,0.0,Clear
571522,57160000,57160128 SB ON,GORE 57160129/130,2023,2024,11259.22,Medium,2025-05-05,53,0.0,Clear
571519,57160000,57160117 NB OFF,57160123 NB OFF,2023,2024,9404.65,Medium,2025-05-05,53,0.0,Clear
571518,57160000,57160113 NB OFF,57160117 NB OFF,2023,2024,19218.83,High,2025-05-05,53,0.0,Clear
571521,57160000,57160123 NB OFF,57160128 SB ON,2023,2024,13408.19,Medium,2025-05-05,53,0.0,Clear
577713,57160115,GORE AT SR-293 SB,GORE AT SR-20 WB,2023,2024,912.19,Low,2025-05-05,53,0.0,Clear
577714,57160116,GORE AT SR-20 WB,GORE AT SR-293 NB,2023,2024,813.21,Low,2025-05-05,53,0.0,Clear
577715,57160117,GORE AT SR-293 NB,GORE AT SR-20 EB,2023,2024,6397.94,Medium,2025-05-05,53,0.0,Clear
577716,57160118,GORE AT SR-20 EB,GORE AT SR-293 SB,2023,2024,6339.01,Medium,2025-05-05,53,0.0,Clear
577717,57160129,N END OF SR-293,GORE AT SR-85 SB,2023,2024,1022.2,Low,2025-05-05,53,0.0,Clear
577718,57160130,GORE AT SR-85 SB,SR-293 SB,2023,2024,4615.59,Low,2025-05-05,53,0.0,Clear
577719,57160131,GORE AT SR-293 NB,GORE AT SR-85 NB,2023,2024,4642.41,Low,2025-05-05,53,0.0,Clear
577720,57160132,GORE AT SR-85 NB,GORE AT SR-293 SB,2023,2024,1005.66,Low,2025-05-05,53,0.0,Clear
570315,57180000,57050102 SB ON,57050104 NB OFF,2023,2024,2790.18,Low,2025-05-05,53,0.0,Clear
571605,57500000,S MAIN ST,US-90/SR-10/HWY 90,2023,2024,505.45,Low,2025-05-05,53,0.0,Clear
575054,57500012,US-90/SR-10,N LLOYD ST,2023,2024,2089.66,Low,2025-05-05,53,0.0,Clear
575002,57500013,BRESSLER ST,SR-85/S FERDON BLVD,2023,2024,1299.8,Low,2025-05-05,53,0.0,Clear
575004,57500016,S LLOYD ST,MCDONALD ST,2023,2024,1600.02,Low,2025-05-05,53,0.0,Clear
570303,57501000,NORMANDY RD,SR-85,2023,2024,6006.02,Medium,2025-05-05,53,0.0,Clear
570289,57501000,SR-85,POVERTY CREEK RD,2023,2024,9226.83,Medium,2025-05-05,53,0.0,Clear
570305,57501500,US-90/SR-10,NORMANDY RD,2023,2024,6939.49,Medium,2025-05-05,53,0.0,Clear
575135,57502000,US-98/SR-30,CALHOUN AVE,2023,2024,3199.94,Low,2025-05-05,53,0.0,Clear
570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,2023,2024,1490.92,Low,2025-05-05,53,0.0,Clear
575118,57507000,PALM BLVD,SR-285,2023,2024,10367.41,Medium,2025-05-05,53,0.0,Clear
571508,57507000,SR-85,PALM BLVD,2023,2024,11154.22,Medium,2025-05-05,53,0.0,Clear
571500,57507001,SR-85,KELLY WAY,2023,2024,7176.84,Medium,2025-05-05,53,0.0,Clear
571514,57507001,KELLY WAY,SR-85,2023,2024,9250.87,Medium,2025-05-05,53,0.0,Clear
571499,57507002,SR-285,ROCKY BAYOU DR,2023,2024,4108.17,Low,2025-05-05,53,0.0,Clear
575026,57508000,AIRPORT,CR-30D/MAIN ST,2023,2024,21541.2,High,2025-05-05,53,0.0,Clear
575131,57508000,US-98/SR-30,AIRPORT,2023,2024,8184.52,Medium,2025-05-05,53,0.0,Clear
570010,57509000,WALTON CO LINE,CR-393/HWY 393,2023,2024,511.88,Low,2025-05-05,53,0.0,Clear
570170,57510000,US-90/SR-10/HWY 90,SR-4/HWY 4,2023,2024,3624.15,Low,2025-05-05,53,0.0,Clear
570310,57518000,US-98/SR-30,LEGENDARY MARINE DR,2023,2024,24710.6,High,2025-05-05,53,0.0,Clear
570295,57518000,MID BAY BR ADMIN,SR-20,2023,2024,5408.77,Medium,2025-05-05,53,0.0,Clear
575014,57540002,SR-20/JOHN SIMS PKWY,SR-285/N PARTIN DR,2023,2024,650.05,Low,2025-05-05,53,0.0,Clear
571512,57540015,PALM BLVD,END OF PAVEMENT,2023,2024,2397.86,Low,2025-05-05,53,0.0,Clear
575119,57540101,VALPARAISO BLVD,27TH ST,2023,2024,5091.91,Medium,2025-05-05,53,0.0,Clear
575120,57540101,27TH ST,SR-20,2023,2024,8913.34,Medium,2025-05-05,53,0.0,Clear
575117,57540101,SR-285,COLLEGE BLVD,2023,2024,3601.57,Low,2025-05-05,53,0.0,Clear
575121,57540101,SR-20,SR-285,2023,2024,8363.67,Medium,2025-05-05,53,0.0,Clear
570214,57550000,SR-85,,2023,2024,100.0,Low,2025-05-05,53,0.0,Clear
570282,57550500,ALABAMA STATE LINE,CHURCH DRIVEWAY,2023,2024,750.97,Low,2025-05-05,53,0.0,Clear
570217,57570000,US-90/SR-10/HWY 90,CR-2/HWY 2,2023,2024,2939.81,Low,2025-05-05,53,0.0,Clear
570200,57570000,CR-2/HWY 2,SR-85/HWY 85,2023,2024,598.56,Low,2025-05-05,53,0.0,Clear
570300,57590000,WHIPPOORWILL DR,,2023,2024,1403.15,Low,2025-05-05,53,0.0,Clear
570275,57590000,,US-90/SR-10/HWY 90,2023,2024,5553.75,Medium,2025-05-05,53,0.0,Clear
575151,57600000,MAIN ST,INDIAN TR,2023,2024,5798.67,Medium,2025-05-05,53,0.0,Clear
575150,57600000,FIRST ST,MAIN ST,2023,2024,7930.0,Medium,2025-05-05,53,0.0,Clear
575133,57600001,US98/SR30/US HWY 98,KELLY ST,2023,2024,7325.81,Medium,2025-05-05,53,0.0,Clear
575096,57610001,SR-189/BEAL PKWY,SR-85/EGLIN PKWY,2023,2024,12390.75,Medium,2025-05-05,53,0.0,Clear
571711,57610001,SR-85/EGLIN PKWY,FERRY RD NE,2023,2024,2401.65,Low,2025-05-05,53,0.0,Clear
575093,57610009,SR-189/BEAL PKWY,LAFITTE CRESCENT,2023,2024,1500.28,Low,2025-05-05,53,0.0,Clear
575078,57610011,US-98/SR-30,SR-393,2023,2024,4390.88,Low,2025-05-05,53,0.0,Clear
575125,57610013,MAYFLOWER AVE,SR-188/RACETRACK RD,2023,2024,3298.58,Low,2025-05-05,53,0.0,Clear
575124,57610013,SR-189/BEAL PKWY,MAYFLOWER AVE,2023,2024,8288.23,Medium,2025-05-05,53,0.0,Clear
575140,57610014,MLK BLVD,SR-189/BEAL PKWY,2023,2024,11530.04,Medium,2025-05-05,53,0.0,Clear
575109,57610100,MEIGS DR,SR-85/EGLIN PKWY,2023,2024,1512.42,Low,2025-05-05,53,0.0,Clear
