COSITE,ROADWAY,FROM,TO,ESTIMATED_CURRENT_AADT,FORECASTED_AADT,Congestion_Level,TEMPERATURE,WINDSPEED
575091,57003000,SR-189/BEAL PKWY,DENTON BLVD,28500.0,28640.64,High,73.97,3.48
575053,57010000,LINDBERG ST,N WILSON ST,23300.0,23430.14,High,73.97,3.48
571602,57010000,ENZOR RD,LINDBERG ST,21200.0,21330.61,High,73.97,3.48
575051,57010000,SR-85,BRACKIN ST,11000.0,10998.01,Medium,73.97,3.48
570098,57010000,SANTA ROSA CO LINE,CR-189/LOG LAKE RD,4600.0,4674.35,Low,73.97,3.48
570009,57010000,MIDDLEBROOKS RD,SR-4,6950.0,7069.13,Medium,73.97,3.48
570302,57010000,FAIRCHILD RD,CR-393/HWY 393,10450.0,10557.49,Medium,73.97,3.48
570122,57010000,CR-4/ANTIOCH RD,ENZOR RD,18024.5,18287.95,High,73.97,3.48
570124,57010000,CR-393/HWY 393,WALTON CO LINE,8950.0,9083.07,Medium,73.97,3.48
571601,57010000,BRACKIN ST,FAIRCHILD RD,13450.0,13598.0,Medium,73.97,3.48
570101,57010000,SR-4,CR-4/ANTIOCH RD,18700.0,18858.36,High,73.97,3.48
570128,57010000,CR-189/LOG LAKE RD,MIDDLEBROOKS RD,7400.0,7480.63,Medium,73.97,3.48
575052,57010000,N WILSON ST,SR-85,17350.0,17354.78,High,73.97,3.48
575005,57020000,21ST ST,CR-285/PARTIN DR,4400.0,4422.39,Low,73.97,3.48
575072,57020500,VALPARAISO BLVD,FINCK RD,1500.0,1499.26,Low,73.97,3.48
570306,57030000,PARRISH BLVD,Bridge No-570182,50500.0,50799.93,High,73.97,3.48
571702,57030000,SR393MARY ESTHER BLV,MEMORIAL PKWY SW,27250.0,27251.77,High,73.97,3.48
570019,57030001,MP23.890 OF 57030000,SECTION END MP 0.488,7300.0,7299.99,Medium,73.97,3.48
570167,57030000,SANTA ROSA CO LINE,PARRISH BLVD,41317.5,41690.8,High,73.97,3.48
575136,57030000,STAHLMAN AVE,CR-30D/MAIN ST,50250.0,51047.62,High,73.97,3.48
575104,57030000,PERRY AVE SE,SANTA ROSA BLVD,48750.0,48763.69,High,73.97,3.48
575039,57030000,BUSINESS ENT/EXIT,BROOKS ST SE,36500.0,36527.33,High,73.97,3.48
571705,57030000,Bridge No-570182,BUSINESS ENT/EXIT,44750.0,44748.25,High,73.97,3.48
575038,57030000,MEMORIAL PKWY SW,BUSINESS ENT/EXIT,30250.0,30254.35,High,73.97,3.48
575080,57030000,BUSINESS ENT/EXIT,SR393MARY ESTHER BLV,34000.0,33970.25,High,73.97,3.48
575130,57030000,GULF SHORE DR,,60250.0,61239.54,High,73.97,3.48
575083,57030000,FLORIDA PL SE,PERRY AVE SE,36000.0,36017.49,High,73.97,3.48
570385,57030000,PARK,COASTGUARD STATION,42238.5,42423.33,High,73.97,3.48
575132,57030000,CR-30D/MAIN ST,GULF SHORE DR,51250.0,51619.26,High,73.97,3.48
575040,57030000,BROOKS ST SE,FLORIDA PL SE,33750.0,33850.85,High,73.97,3.48
570018,57030000,COASTGUARD STATION,STAHLMAN AVE,45250.0,45553.04,High,73.97,3.48
600168,57030030,HUTCHINSON ST,WALTON CO LINE,52500.0,52513.34,High,73.97,3.48
575143,57030030,KELLY PLANTATION,HUTCHINSON ST,59500.0,59654.74,High,73.97,3.48
575169,57030030,0.096 E OF AIRPORT R,KELLY PLANTATION,42500.0,42559.53,High,73.97,3.48
577705,57030111,US-98/SR-30,CODY AVE,5100.0,5145.92,Medium,73.97,3.48
577706,57030112,CODY AVE,US-98/SR-30,5750.0,5868.09,Medium,73.97,3.48
577707,57030113,US-98/SR-30,CODY AVE,2200.0,2194.99,Low,73.97,3.48
577708,57030114,CODY AVE,US-98/SR-30,2250.0,2293.64,Low,73.97,3.48
575045,57040000,SR-145/PERRY AVE SE,HOLLYWOOD BLVD SE,38000.0,38285.74,High,73.97,3.48
575010,57040000,DAVIS DR,CR-285,44500.0,44760.7,High,73.97,3.48
575043,57040029,MIRACLE STRIP PKWY,FROM US-98/SR-30,6650.0,6627.66,Medium,73.97,3.48
570298,57040000,EDGEWATER DR,BAY DR,42000.0,42371.2,High,73.97,3.48
571704,57040000,SHOPPING CTR,YACHT CLUB DR,42000.0,42114.08,High,73.97,3.48
571502,57040000,REDWOOD AVE,EDGEWATER DR,40000.0,39963.86,High,73.97,3.48
571709,57040000,YACHT CLUB DR,MONAHAN DR,51000.0,51097.5,High,73.97,3.48
570307,57040000,SR-397,SR-189,23650.0,23946.26,High,73.97,3.48
571510,57040000,SR-397,SR-85,47250.0,47683.99,High,73.97,3.48
575073,57040000,PALM BLVD,REDWOOD AVE,43250.0,43595.09,High,73.97,3.48
570294,57040000,BAY DR,CR-293/WHITE POINT R,32500.0,32782.82,High,73.97,3.48
571710,57040000,12TH AVE,SR-397,34500.0,34783.3,High,73.97,3.48
575108,57040000,MONAHAN DR,4TH AVE,43000.0,43154.31,High,73.97,3.48
570314,57040000,GEN ROBERT M BOND BL,57150002 NB ON,57750.0,58341.9,High,73.97,3.48
571707,57040000,4TH AVE,12TH AVE,44250.0,44264.88,High,73.97,3.48
575009,57040000,SR-85,DAVIS DR,45500.0,45892.16,High,73.97,3.48
571507,57040000,FROM SR-190,SR-397,25500.0,25859.58,High,73.97,3.48
570261,57040000,57150002 NB ON,FROM SR-190,24000.0,24077.89,High,73.97,3.48
575106,57040000,HOLLYWOOD BLVD SE,SHOPPING CTR,40250.0,40405.86,High,73.97,3.48
571520,57040000,CR-293/WHITE POINT R,57160118 SB ON,27000.0,27448.43,High,73.97,3.48
575076,57040000,CR-285,PALM BLVD,39750.0,40164.58,High,73.97,3.48
570260,57040000,SR-189,GEN ROBERT M BOND BL,42250.0,42712.29,High,73.97,3.48
570110,57040000,57160118 SB ON,COUNTY LINE RD,16650.0,17062.78,High,73.97,3.48
575079,57040000,SR-85/FLORIDA PL SE,SR-145/PERRY AVE SE,15550.0,15759.66,High,73.97,3.48
575137,57040001,CHESTNUT AVE SE,SR-85/EGLIN PKWY SE,19750.0,19745.36,High,73.97,3.48
575128,57040001,US-98/SR-30,CHESTNUT AVE SE,21500.0,21504.72,High,73.97,3.48
575074,57040024,US-98/SR-30,FIRST ST SE,7050.0,7053.59,Medium,73.97,3.48
575023,57040028,SR-397,CHICAGO AVE,19650.0,19648.85,High,73.97,3.48
575024,57040025,EGLIN AFB E GATE,N BAYSHORE DR,15150.0,15114.8,High,73.97,3.48
570190,57040026,SR-85 NB,SR-85 SB,6950.0,6689.47,Medium,73.97,3.48
575022,57040028,FROM VALPARAISO PKWY,SR-397,3550.0,3556.56,Low,73.97,3.48
571504,57040027,SR-85,NORDBERG AVE,4150.0,4147.15,Low,73.97,3.48
571505,57040027,CHICAGO AVE,SHOPPING CTR,21250.0,21255.03,High,73.97,3.48
577721,57040100,SR-85,SR-85,200.0,204.7,Low,73.97,3.48
577710,57040114,SR-85 SB FRONTAGE RD,SR-85,2000.0,2046.31,Low,73.97,3.48
577722,57040200,SR-85,,1150.0,1112.46,Low,73.97,3.48
571610,57050000,PJ ADAMS PKWY,JOHN KING RD,42750.0,42987.48,High,73.97,3.48
575060,57050000,E CANE AVE,US-90/SR-10,42500.0,42839.46,High,73.97,3.48
571609,57050000,TO I-10 EB,WAL MART RD,49500.0,49643.03,High,73.97,3.48
570219,57050000,57160131 NB OFF,57150005 SB ON,18545.5,18664.0,High,73.97,3.48
571608,57050000,WAL MART RD,W REDSTONE AVE,45750.0,46143.32,High,73.97,3.48
571607,57050000,JOHN KING RD,TO I-10 EB,52750.0,53170.69,High,73.97,3.48
571503,57050000,COLLEGE BLVD,57160131 NB OFF,12750.0,12738.68,Medium,73.97,3.48
570088,57050000,57150005 SB ON,PJ ADAMS PKWY,42000.0,42082.92,High,73.97,3.48
571606,57050000,W REDSTONE AVE,E CANE AVE,47750.0,48103.6,High,73.97,3.48
575016,57050000,SR-20,COLLEGE BLVD,14600.0,14714.85,Medium,73.97,3.48
577711,57050017,SR-20/JOHN SIMS PKWY,SR-85/N HWY 85,3650.0,3649.94,Low,73.97,3.48
577701,57050101,SR-85,77TH SPECIAL FORCES,1950.0,1963.36,Low,73.97,3.48
577702,57050102,77TH SPECIAL FORCES,SR-85,1450.0,1444.36,Low,73.97,3.48
577704,57050103,SR-210/MCWHORTER AVE,SR-85,1500.0,1497.33,Low,73.97,3.48
577703,57050104,SR-85,SR-210,1600.0,1598.5,Low,73.97,3.48
575057,57060000,US-90/SR-10,LONG DR,30500.0,30684.28,High,73.97,3.48
575112,57060000,LONG DR,JONES RD,30500.0,30810.3,High,73.97,3.48
570356,57060000,BRADLEY RD,CR-602,4303.0,4345.44,Low,73.97,3.48
570118,57060000,CR-85A,COUNTY LINE RD,3600.0,3655.08,Low,73.97,3.48
570051,57060000,CR-602,CR-85A/SECOND AVE,4800.0,4847.4,Low,73.97,3.48
570139,57060000,CR-188/AIRPORT RD,BRADLEY RD,13850.0,14021.54,Medium,73.97,3.48
571603,57060000,JONES RD,CR-188/AIRPORT RD,29750.0,30200.92,High,73.97,3.48
570054,57060000,CR-85A/SECOND AVE,CR-85A,4400.0,4473.27,Low,73.97,3.48
570005,57070000,GEORGIA AVE,VINSON RAY RD,5450.0,5449.78,Medium,73.97,3.48
570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,3350.0,3343.91,Low,73.97,3.48
570121,57070000,CR-2/HWY 2,L G RUSSELL RD,4750.0,4827.31,Low,73.97,3.48
570120,57070000,VINSON RAY RD,CR-2/HWY 2,5150.0,5190.84,Medium,73.97,3.48
570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,2150.0,2186.52,Low,73.97,3.48
570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,11900.0,12032.5,Medium,73.97,3.48
570309,57090000, , ,9250.0,9355.74,Medium,73.97,3.48
571511,57090000,SR-20/JOHN SIMS PKWY,BAYSHORE DR,2200.0,2199.75,Low,73.97,3.48
575077,57090000,SR-20/JOHN SIMS PKWY,PALM BLVD,8600.0,8692.18,Medium,73.97,3.48
571506,57090000,PALM BLVD,COLLEGE BLVD,9400.0,9481.11,Medium,73.97,3.48
600251,57090000,57160127 NB OFF,WALTON CO LINE,10300.0,10482.27,Medium,73.97,3.48
575003,57090000,BAYSHORE DR,SR-20/JOHN SIMS PKWY,2400.0,2409.63,Low,73.97,3.48
570301,57100000,SR-189/HWY 189,SR-85/HWY 85,425.0,431.15,Low,73.97,3.48
575034,57110000,YACHT CLUB DR,MEMORIAL PKWY NW,26500.0,26533.38,High,73.97,3.48
575095,57110000,OAK ST,LEWIS ST,52250.0,52502.68,High,73.97,3.48
575102,57110000,US-98/SR-30,HOLLYWOOD BLVD,15200.0,15295.24,High,73.97,3.48
571701,57110000,MEMORIAL PKWY NW,OAK ST,32000.0,32273.93,High,73.97,3.48
575113,57110000,LEWIS ST,SR-188/RACETRACK RD,42750.0,42881.86,High,73.97,3.48
575138,57110000,HOLLYWOOD BLVD,YACHT CLUB DR,21600.0,21752.79,High,73.97,3.48
571708,57110028,BUSINESS,WRIGHT PKWY NW,23750.0,23779.83,High,73.97,3.48
575105,57110028,MIRACLE STRIP,HOLLYWOOD BLVD,18400.0,18375.41,High,73.97,3.48
575098,57110028,WRIGHT PKWY NW,SR-189/BEAL PKWY,35750.0,35872.05,High,73.97,3.48
571706,57130000,MOONEY RD,GEN BOND BLVD,37750.0,38396.73,High,73.97,3.48
570290,57130000,GEN BOND BLVD,SR-85,20850.0,20861.11,High,73.97,3.48
575090,57130000,SR-188/RACETRACK RD,GREEN ACRES RD,32750.0,32756.87,High,73.97,3.48
570291,57130000,SR-85,SR-397/EGLIN BLVD,11100.0,11096.68,Medium,73.97,3.48
570250,57130000,GREEN ACRES RD,MOONEY RD,33349.5,33620.15,High,73.97,3.48
570189,57140000,HARBOR BLVD,BENNING DR,2900.0,2936.34,Low,73.97,3.48
570299,57150000,SR-85 WB FRONTAGE RD,Bridge No-570177,24500.0,24724.24,High,73.97,3.48
570312,57150002,SR-85 NB,57040200 WB FRONTAGE,10850.0,10880.29,Medium,73.97,3.48
570313,57150003,SR-123 NB GORE,SR-85 SB,11600.0,11724.1,Medium,73.97,3.48
570319,57150004,N END BRIDGE 570076,SR-85,10750.0,10747.45,Medium,73.97,3.48
570320,57150005,SR-85 SB,N END BRIDGE 570177,11000.0,11000.01,Medium,73.97,3.48
577712,57150101,SR-123 SB,SR-85 WB FRONTAGE RD,775.0,802.02,Low,73.97,3.48
577709,57150111,SR-123 NB,SR-85 SB,750.0,776.08,Low,73.97,3.48
571522,57160000,57160128 SB ON,GORE 57160129/130,12450.0,12776.95,Medium,73.97,3.48
571519,57160000,57160117 NB OFF,57160123 NB OFF,9700.0,9702.84,Medium,73.97,3.48
571518,57160000,57160113 NB OFF,57160117 NB OFF,19150.0,19150.62,High,73.97,3.48
571521,57160000,57160123 NB OFF,57160128 SB ON,14050.0,14295.88,Medium,73.97,3.48
570296,57518000,LEGENDARY MARINE DR,,23750.0,23730.71,High,73.97,3.48
577713,57160115,GORE AT SR-293 SB,GORE AT SR-20 WB,975.0,989.88,Low,73.97,3.48
577714,57160116,GORE AT SR-20 WB,GORE AT SR-293 NB,800.0,808.58,Low,73.97,3.48
577715,57160117,GORE AT SR-293 NB,GORE AT SR-20 EB,6900.0,7061.55,Medium,73.97,3.48
577716,57160118,GORE AT SR-20 EB,GORE AT SR-293 SB,6850.0,6942.12,Medium,73.97,3.48
577717,57160129,N END OF SR-293,GORE AT SR-85 SB,1100.0,1130.11,Low,73.97,3.48
577718,57160130,GORE AT SR-85 SB,SR-293 SB,5100.0,5242.57,Medium,73.97,3.48
577719,57160131,GORE AT SR-293 NB,GORE AT SR-85 NB,5050.0,5036.67,Medium,73.97,3.48
577720,57160132,GORE AT SR-85 NB,GORE AT SR-293 SB,1050.0,1056.92,Low,73.97,3.48
570315,57180000,57050102 SB ON,57050104 NB OFF,2900.0,2900.37,Low,73.97,3.48
571605,57500000,S MAIN ST,US-90/SR-10/HWY 90,525.0,527.72,Low,73.97,3.48
575054,57500012,US-90/SR-10,N LLOYD ST,2300.0,2322.02,Low,73.97,3.48
575002,57500013,BRESSLER ST,SR-85/S FERDON BLVD,1300.0,1300.24,Low,73.97,3.48
575004,57500016,S LLOYD ST,MCDONALD ST,1500.0,1502.07,Low,73.97,3.48
570303,57501000,NORMANDY RD,SR-85,6300.0,6387.98,Medium,73.97,3.48
570289,57501000,SR-85,POVERTY CREEK RD,9100.0,9375.57,Medium,73.97,3.48
570305,57501500,US-90/SR-10,NORMANDY RD,7750.0,7890.44,Medium,73.97,3.48
575135,57502000,US-98/SR-30,CALHOUN AVE,2900.0,2914.1,Low,73.97,3.48
570007,57506000,GALLIVER CUTOFF RD,SR-4/HWY 4,1650.0,1660.08,Low,73.97,3.48
575118,57507000,PALM BLVD,SR-285,10250.0,10459.96,Medium,73.97,3.48
571508,57507000,SR-85,PALM BLVD,11450.0,11688.54,Medium,73.97,3.48
571500,57507001,SR-85,KELLY WAY,7400.0,7481.43,Medium,73.97,3.48
571514,57507001,KELLY WAY,SR-85,9200.0,9278.89,Medium,73.97,3.48
571499,57507002,SR-285,ROCKY BAYOU DR,4400.0,4435.22,Low,73.97,3.48
575026,57508000,AIRPORT,CR-30D/MAIN ST,23300.0,23517.83,High,73.97,3.48
575131,57508000,US-98/SR-30,AIRPORT,8600.0,8623.07,Medium,73.97,3.48
570010,57509000,WALTON CO LINE,CR-393/HWY 393,475.0,477.15,Low,73.97,3.48
570170,57510000,US-90/SR-10/HWY 90,SR-4/HWY 4,3700.0,3769.53,Low,73.97,3.48
570310,57518000,US-98/SR-30,LEGENDARY MARINE DR,27100.0,27429.82,High,73.97,3.48
570295,57518000,MID BAY BR ADMIN,SR-20,5250.0,5245.59,Medium,73.97,3.48
575014,57540002,SR-20/JOHN SIMS PKWY,SR-285/N PARTIN DR,675.0,673.98,Low,73.97,3.48
571512,57540015,PALM BLVD,END OF PAVEMENT,2450.0,2447.56,Low,73.97,3.48
575119,57540101,VALPARAISO BLVD,27TH ST,5050.0,5047.73,Medium,73.97,3.48
575120,57540101,27TH ST,SR-20,9900.0,10012.41,Medium,73.97,3.48
575117,57540101,SR-285,COLLEGE BLVD,3650.0,3647.74,Low,73.97,3.48
575121,57540101,SR-20,SR-285,9150.0,9178.28,Medium,73.97,3.48
570214,57550000,SR-85,,100.0,100.0,Low,73.97,3.48
570282,57550500,ALABAMA STATE LINE,CHURCH DRIVEWAY,675.0,675.99,Low,73.97,3.48
570217,57570000,US-90/SR-10/HWY 90,CR-2/HWY 2,3200.0,3241.26,Low,73.97,3.48
570200,57570000,CR-2/HWY 2,SR-85/HWY 85,625.0,626.33,Low,73.97,3.48
570300,57590000,WHIPPOORWILL DR,,1550.0,1579.31,Low,73.97,3.48
570275,57590000,,US-90/SR-10/HWY 90,5900.0,5996.46,Medium,73.97,3.48
575151,57600000,MAIN ST,INDIAN TR,5900.0,5900.27,Medium,73.97,3.48
575150,57600000,FIRST ST,MAIN ST,9200.0,9335.97,Medium,73.97,3.48
575133,57600001,US98/SR30/US HWY 98,KELLY ST,5900.0,5984.86,Medium,73.97,3.48
575096,57610001,SR-189/BEAL PKWY,SR-85/EGLIN PKWY,13000.0,13074.26,Medium,73.97,3.48
571711,57610001,SR-85/EGLIN PKWY,FERRY RD NE,2450.0,2459.37,Low,73.97,3.48
575093,57610009,SR-189/BEAL PKWY,LAFITTE CRESCENT,1550.0,1553.05,Low,73.97,3.48
575078,57610011,US-98/SR-30,SR-393,4600.0,4606.58,Low,73.97,3.48
575125,57610013,MAYFLOWER AVE,SR-188/RACETRACK RD,3600.0,3652.23,Low,73.97,3.48
575124,57610013,SR-189/BEAL PKWY,MAYFLOWER AVE,8650.0,8675.52,Medium,73.97,3.48
575140,57610014,MLK BLVD,SR-189/BEAL PKWY,12300.0,12399.29,Medium,73.97,3.48
575109,57610100,MEIGS DR,SR-85/EGLIN PKWY,1600.0,1614.35,Low,73.97,3.48
575086,57610103,SR-188/RACETRACK RD,GARNIERS POST RD,6900.0,6919.63,Medium,73.97,3.48
575122,57610103,GARNIERS POST RD,SR-189,4700.0,4740.67,Low,73.97,3.48
575153,57610500,LANG RD,MAYFLOWER AVE,2300.0,2326.17,Low,73.97,3.48
575099,57610501,HILL AVE NW,POPLAR AVE,6800.0,6826.47,Medium,73.97,3.48
575100,57610501,POPLAR AVE,SR-393,7400.0,7462.52,Medium,73.97,3.48
570280,57620000,ADDISON PLACE,US-90/SR-10/HWY 90,11850.0,12063.59,Medium,73.97,3.48
570278,57620000,US-90/SR-10/HWY 90,BUCK WARD RD,1650.0,1649.33,Low,73.97,3.48
570284,57620500,ADDISON PLACE APT,SR-85/S FERDON BLVD,5300.0,5392.19,Medium,73.97,3.48
570283,57620501,ANTIOCH RD,SR-85,18850.0,18856.47,High,73.97,3.48
