COSITE,ROADWAY,FROM,TO,LAST_YEAR_RECORDED,FORECASTED_YEAR,FORECASTED_AADT,Congestion_Level,FORECAST_DATE,TEMPERATURE,WINDSPEED,CURRENT_FORECAST
575111,57000018,SR-393/MARY ESTHER,WRIGHT PKWY NW,2023,2024,9489.25,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575092,57000018,WRIGHT PKWY NW,ROBINWOOD DR SW,2023,2024,9975.24,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575116,57000018,ROBINWOOD DR SW,SR-189/BEAL PKWY,2023,2024,12487.17,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575145,57000019,FLORIDA BLANCA PL SE,BAY DR NE,2023,2024,894.57,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575114,57000019,FERRY RD NE,SR-85/EGLIN PKWY,2023,2024,7861.67,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575165,57000019,BAY DR NE,FERRY RD NE,2023,2024,3897.09,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575146,57000020,SR-85/EGLIN PKWY,FERRY RD NE,2023,2024,4886.21,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570285,57000021,7TH ST,SR-20,2023,2024,7661.66,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571501,57000023,VALPARAISO BLVD,7TH ST,2023,2024,1054.2,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575901,57000031,BUCK WARD RD,VINSON RAY RD,2023,2024,763.47,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575147,57000035,CROSS ST,BENNING DR,2023,2024,754.54,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575164,57000036,BENNING DR,FIRST ST,2023,2024,450.23,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575148,57000038,FIRST ST SE,SR-145/PERRY AVE SE,2023,2024,351.0,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575167,57000038,CHESTNUT AVE SE,YACHT CLUB DR NE,2023,2024,1503.04,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575075,57000039,SR-189/BEAL PKWY,SR-85/EGLIN PKWY,2023,2024,6988.02,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575070,57000040,US-98/SR-30,HOLLYWOOD BLVD SW,2023,2024,5995.63,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575902,57000061,OLD RIVER RD,CR-2/HWY 2,2023,2024,99.81,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575129,57000110,MILITARY BDRY ENT,US-98/SR-30,2023,2024,16496.59,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575168,57000111,HILL AVE NW,DOOLITTLE BLVD,2023,2024,18472.63,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575139,57000111,DOOLITTLE BLVD,SR-393,2023,2024,6895.57,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575141,57000112,FREEDOM WAY,HURLBURT RD,2023,2024,31050.35,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575101,57000112,LOVEJOY RD NW,FREEDOM WAY,2023,2024,27339.58,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575097,57000112,HOLLYWOOD BLVD NW,LOVEJOY RD NW,2023,2024,21831.81,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575154,57000113,US-98/SR-30,CR-30B/BENNING DR,2023,2024,3605.53,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575027,57000113,CR-30B/BENNING DR,CR-30D/MAIN ST,2023,2024,12894.13,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570297,57000114,SR-20/JOHN SIMS PKWY,HUNTINGTON CIR,2023,2024,7813.98,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575094,57000116,MIRACLE STRIP,HOLLYWOOD BLVD,2023,2024,16255.08,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575903,57000117,US-98/SR-30,COMMONS DR W RAB,2023,2024,5714.56,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570317,57000118,CR-30F/AIRPORT RD,INDIAN BAYOU TR,2023,2024,16500.83,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575149,57000350,HOLLYWOOD BLVD NW,HOLMES BLVD NW,2023,2024,2095.37,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572004,57002000,57002006 EB OFF,WALTON CO LINE,2023,2024,27249.32,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
582007,57002000,SANTA ROSA CO LINE,57002002 EB OFF,2023,2024,38454.09,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570318,57002000,57002002 EB OFF,57002006 EB OFF,2023,2024,32723.41,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572601,57002001,CR-189,I-10/SR-8,2023,2024,2057.73,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572602,57002002,I-10/SR-8,CR-189,2023,2024,1942.68,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572603,57002003,I-10/SR-8,CR-189,2023,2024,918.28,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572604,57002004,CR-189,I-10/SR-8,2023,2024,1024.6,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572605,57002005,SR-85,I-10/SR-8,2023,2024,6404.54,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572606,57002006,I-10/SR-8,SR-85/S FERDON BLVD,2023,2024,7062.66,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572607,57002007,I-10/SR-8,SR-85/ S FERDON BLVD,2023,2024,3221.57,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
572608,57002008,SR-85,I-10/SR-8,2023,2024,2602.2,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575126,57003000,DENTON BLVD,MOONEY RD,2023,2024,27008.92,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575110,57003000,MOONEY RD,SR-85/EGLIN PKWY,2023,2024,27497.56,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575091,57003000,SR-189/BEAL PKWY,DENTON BLVD,2023,2024,27481.99,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575053,57010000,LINDBERG ST,N WILSON ST,2023,2024,22617.37,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571602,57010000,ENZOR RD,LINDBERG ST,2023,2024,20740.56,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575051,57010000,SR-85,BRACKIN ST,2023,2024,10571.05,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570098,57010000,SANTA ROSA CO LINE,CR-189/LOG LAKE RD,2023,2024,4387.67,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570009,57010000,MIDDLEBROOKS RD,SR-4,2023,2024,6603.04,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570302,57010000,FAIRCHILD RD,CR-393/HWY 393,2023,2024,10491.61,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570122,57010000,CR-4/ANTIOCH RD,ENZOR RD,2023,2024,17241.01,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570124,57010000,CR-393/HWY 393,WALTON CO LINE,2023,2024,8760.02,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571601,57010000,BRACKIN ST,FAIRCHILD RD,2023,2024,13230.33,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570101,57010000,SR-4,CR-4/ANTIOCH RD,2023,2024,18318.51,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570128,57010000,CR-189/LOG LAKE RD,MIDDLEBROOKS RD,2023,2024,7068.01,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575052,57010000,N WILSON ST,SR-85,2023,2024,17169.71,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575005,57020000,21ST ST,CR-285/PARTIN DR,2023,2024,4334.41,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575072,57020500,VALPARAISO BLVD,FINCK RD,2023,2024,1499.78,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570306,57030000,PARRISH BLVD,Bridge No-570182,2023,2024,47879.44,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571702,57030000,SR393MARY ESTHER BLV,MEMORIAL PKWY SW,2023,2024,27994.36,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570167,57030000,SANTA ROSA CO LINE,PARRISH BLVD,2023,2024,39648.65,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575136,57030000,STAHLMAN AVE,CR-30D/MAIN ST,2023,2024,50191.16,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575039,57030000,BUSINESS ENT/EXIT,BROOKS ST SE,2023,2024,36029.62,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571705,57030000,Bridge No-570182,BUSINESS ENT/EXIT,2023,2024,43424.45,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575038,57030000,MEMORIAL PKWY SW,BUSINESS ENT/EXIT,2023,2024,30505.92,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575080,57030000,BUSINESS ENT/EXIT,SR393MARY ESTHER BLV,2023,2024,32959.65,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575130,57030000,GULF SHORE DR,,2023,2024,55918.5,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575083,57030000,FLORIDA PL SE,PERRY AVE SE,2023,2024,36066.24,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570385,57030000,PARK,COASTGUARD STATION,2023,2024,40622.28,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575132,57030000,CR-30D/MAIN ST,GULF SHORE DR,2023,2024,48592.63,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575040,57030000,BROOKS ST SE,FLORIDA PL SE,2023,2024,31407.61,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570018,57030000,COASTGUARD STATION,STAHLMAN AVE,2023,2024,45206.12,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
600168,57030030,HUTCHINSON ST,WALTON CO LINE,2023,2024,53256.5,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575143,57030030,KELLY PLANTATION,HUTCHINSON ST,2023,2024,60341.77,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575169,57030030,0.096 E OF AIRPORT R,KELLY PLANTATION,2023,2024,46524.34,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577705,57030111,US-98/SR-30,CODY AVE,2023,2024,4942.94,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577706,57030112,CODY AVE,US-98/SR-30,2023,2024,4969.98,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577707,57030113,US-98/SR-30,CODY AVE,2023,2024,1892.01,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577708,57030114,CODY AVE,US-98/SR-30,2023,2024,2003.72,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575045,57040000,SR-145/PERRY AVE SE,HOLLYWOOD BLVD SE,2023,2024,36597.82,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575010,57040000,DAVIS DR,CR-285,2023,2024,40899.93,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570298,57040000,EDGEWATER DR,BAY DR,2023,2024,39536.11,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571704,57040000,SHOPPING CTR,YACHT CLUB DR,2023,2024,41001.28,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571502,57040000,REDWOOD AVE,EDGEWATER DR,2023,2024,37335.15,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571709,57040000,YACHT CLUB DR,MONAHAN DR,2023,2024,49467.19,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570307,57040000,SR-397,SR-189,2023,2024,21954.12,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571510,57040000,SR-397,SR-85,2023,2024,43361.84,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575073,57040000,PALM BLVD,REDWOOD AVE,2023,2024,40013.39,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570294,57040000,BAY DR,CR-293/WHITE POINT R,2023,2024,31061.7,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571710,57040000,12TH AVE,SR-397,2023,2024,33546.92,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575108,57040000,MONAHAN DR,4TH AVE,2023,2024,42018.9,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570314,57040000,GEN ROBERT M BOND BL,57150002 NB ON,2023,2024,53979.23,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571707,57040000,4TH AVE,12TH AVE,2023,2024,45005.22,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575009,57040000,SR-85,DAVIS DR,2023,2024,42336.33,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571507,57040000,FROM SR-190,SR-397,2023,2024,23769.89,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570261,57040000,57150002 NB ON,FROM SR-190,2023,2024,24893.23,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575106,57040000,HOLLYWOOD BLVD SE,SHOPPING CTR,2023,2024,39528.19,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571520,57040000,CR-293/WHITE POINT R,57160118 SB ON,2023,2024,25374.85,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575076,57040000,CR-285,PALM BLVD,2023,2024,37126.42,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570260,57040000,SR-189,GEN ROBERT M BOND BL,2023,2024,39611.71,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570110,57040000,57160118 SB ON,COUNTY LINE RD,2023,2024,16068.44,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575079,57040000,SR-85/FLORIDA PL SE,SR-145/PERRY AVE SE,2023,2024,15110.77,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575137,57040001,CHESTNUT AVE SE,SR-85/EGLIN PKWY SE,2023,2024,18325.06,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575128,57040001,US-98/SR-30,CHESTNUT AVE SE,2023,2024,21536.23,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575074,57040024,US-98/SR-30,FIRST ST SE,2023,2024,7105.41,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575024,57040025,EGLIN AFB E GATE,N BAYSHORE DR,2023,2024,16629.45,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571504,57040027,SR-85,NORDBERG AVE,2023,2024,4200.96,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571505,57040027,CHICAGO AVE,SHOPPING CTR,2023,2024,22018.8,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577710,57040114,SR-85 SB FRONTAGE RD,SR-85,2023,2024,1612.67,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571610,57050000,PJ ADAMS PKWY,JOHN KING RD,2023,2024,42271.76,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575060,57050000,E CANE AVE,US-90/SR-10,2023,2024,42194.96,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571609,57050000,TO I-10 EB,WAL MART RD,2023,2024,49442.0,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570219,57050000,57160131 NB OFF,57150005 SB ON,2023,2024,17821.79,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571608,57050000,WAL MART RD,W REDSTONE AVE,2023,2024,44024.54,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571607,57050000,JOHN KING RD,TO I-10 EB,2023,2024,50498.31,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571503,57050000,COLLEGE BLVD,57160131 NB OFF,2023,2024,12594.83,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570088,57050000,57150005 SB ON,PJ ADAMS PKWY,2023,2024,40972.53,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571606,57050000,W REDSTONE AVE,E CANE AVE,2023,2024,47463.12,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575016,57050000,SR-20,COLLEGE BLVD,2023,2024,14032.77,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577711,57050017,SR-20/JOHN SIMS PKWY,SR-85/N HWY 85,2023,2024,3602.08,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577701,57050101,SR-85,77TH SPECIAL FORCES,2023,2024,1468.06,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577702,57050102,77TH SPECIAL FORCES,SR-85,2023,2024,1399.45,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577704,57050103,SR-210/MCWHORTER AVE,SR-85,2023,2024,1396.89,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577703,57050104,SR-85,SR-210,2023,2024,1409.37,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575057,57060000,US-90/SR-10,LONG DR,2023,2024,29676.7,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575112,57060000,LONG DR,JONES RD,2023,2024,29910.49,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570356,57060000,BRADLEY RD,CR-602,2023,2024,4189.1,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570118,57060000,CR-85A,COUNTY LINE RD,2023,2024,3436.59,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570051,57060000,CR-602,CR-85A/SECOND AVE,2023,2024,4418.54,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570139,57060000,CR-188/AIRPORT RD,BRADLEY RD,2023,2024,13323.46,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571603,57060000,JONES RD,CR-188/AIRPORT RD,2023,2024,29026.77,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570054,57060000,CR-85A/SECOND AVE,CR-85A,2023,2024,4022.68,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570005,57070000,GEORGIA AVE,VINSON RAY RD,2023,2024,5291.47,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570001,57070000,L G RUSSELL RD,ALABAMA STATE LINE,2023,2024,4027.51,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570121,57070000,CR-2/HWY 2,L G RUSSELL RD,2023,2024,4424.5,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570120,57070000,VINSON RAY RD,CR-2/HWY 2,2023,2024,5116.07,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570006,57080000,COUNTY LINE RD,CR189/GALIVER CUTOFF,2023,2024,2048.3,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570090,57080000,CR189/GALIVER CUTOFF,US-90/SR-10,2023,2024,10942.55,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570309,57090000, , ,2023,2024,9148.65,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571511,57090000,SR-20/JOHN SIMS PKWY,BAYSHORE DR,2023,2024,2313.76,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575077,57090000,SR-20/JOHN SIMS PKWY,PALM BLVD,2023,2024,8125.25,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571506,57090000,PALM BLVD,COLLEGE BLVD,2023,2024,8962.54,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
600251,57090000,57160127 NB OFF,WALTON CO LINE,2023,2024,9588.59,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575003,57090000,BAYSHORE DR,SR-20/JOHN SIMS PKWY,2023,2024,2310.59,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570301,57100000,SR-189/HWY 189,SR-85/HWY 85,2023,2024,404.48,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575034,57110000,YACHT CLUB DR,MEMORIAL PKWY NW,2023,2024,26535.4,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575095,57110000,OAK ST,LEWIS ST,2023,2024,49934.04,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575102,57110000,US-98/SR-30,HOLLYWOOD BLVD,2023,2024,15036.11,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571701,57110000,MEMORIAL PKWY NW,OAK ST,2023,2024,29988.23,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575113,57110000,LEWIS ST,SR-188/RACETRACK RD,2023,2024,39857.55,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575138,57110000,HOLLYWOOD BLVD,YACHT CLUB DR,2023,2024,21053.64,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575105,57110028,MIRACLE STRIP,HOLLYWOOD BLVD,2023,2024,18125.9,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575098,57110028,WRIGHT PKWY NW,SR-189/BEAL PKWY,2023,2024,33294.4,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571706,57130000,MOONEY RD,GEN BOND BLVD,2023,2024,35197.18,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570290,57130000,GEN BOND BLVD,SR-85,2023,2024,21294.23,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575090,57130000,SR-188/RACETRACK RD,GREEN ACRES RD,2023,2024,32452.25,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570291,57130000,SR-85,SR-397/EGLIN BLVD,2023,2024,12000.06,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570250,57130000,GREEN ACRES RD,MOONEY RD,2023,2024,31794.2,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570189,57140000,HARBOR BLVD,BENNING DR,2023,2024,2705.48,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570299,57150000,SR-85 WB FRONTAGE RD,Bridge No-570177,2023,2024,22911.39,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570312,57150002,SR-85 NB,57040200 WB FRONTAGE,2023,2024,10511.9,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570313,57150003,SR-123 NB GORE,SR-85 SB,2023,2024,11111.57,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570319,57150004,N END BRIDGE 570076,SR-85,2023,2024,10494.31,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570320,57150005,SR-85 SB,N END BRIDGE 570177,2023,2024,11000.0,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577712,57150101,SR-123 SB,SR-85 WB FRONTAGE RD,2023,2024,660.51,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577709,57150111,SR-123 NB,SR-85 SB,2023,2024,703.26,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571522,57160000,57160128 SB ON,GORE 57160129/130,2023,2024,11248.28,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571519,57160000,57160117 NB OFF,57160123 NB OFF,2023,2024,9409.41,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571518,57160000,57160113 NB OFF,57160117 NB OFF,2023,2024,19220.28,High,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571521,57160000,57160123 NB OFF,57160128 SB ON,2023,2024,13383.42,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577713,57160115,GORE AT SR-293 SB,GORE AT SR-20 WB,2023,2024,908.57,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577714,57160116,GORE AT SR-20 WB,GORE AT SR-293 NB,2023,2024,809.56,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577715,57160117,GORE AT SR-293 NB,GORE AT SR-20 EB,2023,2024,6392.65,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577716,57160118,GORE AT SR-20 EB,GORE AT SR-293 SB,2023,2024,6336.03,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577717,57160129,N END OF SR-293,GORE AT SR-85 SB,2023,2024,1021.04,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577718,57160130,GORE AT SR-85 SB,SR-293 SB,2023,2024,4610.68,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577719,57160131,GORE AT SR-293 NB,GORE AT SR-85 NB,2023,2024,4635.88,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
577720,57160132,GORE AT SR-85 NB,GORE AT SR-293 SB,2023,2024,1005.2,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570315,57180000,57050102 SB ON,57050104 NB OFF,2023,2024,2792.91,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
571605,57500000,S MAIN ST,US-90/SR-10/HWY 90,2023,2024,505.82,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575054,57500012,US-90/SR-10,N LLOYD ST,2023,2024,2091.18,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575002,57500013,BRESSLER ST,SR-85/S FERDON BLVD,2023,2024,1300.06,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
575004,57500016,S LLOYD ST,MCDONALD ST,2023,2024,1599.1,Low,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570303,57501000,NORMANDY RD,SR-85,2023,2024,5974.41,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
570289,57501000,SR-85,POVERTY CREEK RD,2023,2024,9147.02,Medium,2025-05-11,80,10.0,Chance Showers And Thunderstorms
